code,name
05.2,Добыча и обогащение бурого угля (лигнита)
05.20,Добыча и обогащение бурого угля (лигнита)
05.20.1,Добыча бурого угля (лигнита)
05.20.2,Обогащение бурого угля (лигнита)
06,Добыча сырой нефти и природного газа
06.1,Добыча сырой нефти и нефтяного (попутного) газа
06.10,Добыча сырой нефти и нефтяного (попутного) газа
06.10.1,Добыча сырой нефти
06.10.2,Добыча горючих (битуминозных) сланцев, песка и озокерита
06.10.3,Добыча нефтяного (попутного) газа
06.2,Добыча природного газа и газового конденсата
06.20,Добыча природного газа и газового конденсата
06.20.1,Добыча природного газа
06.20.2,Добыча газового конденсата
C,Обрабатывающие производства
10,Производство пищевых продуктов
10.1,Переработка и консервирование мяса и мясной пищевой продукции
10.11,Переработка и консервирование мяса
10.11.1,Производство мяса в охлажденном виде
10.11.2,Производство пищевых субпродуктов в охлажденном виде
10.11.3,Производство мяса и пищевых субпродуктов в замороженном виде
10.11.4,Производство щипаной шерсти, сырых шкур и кож крупного рогатого скота, животных семейств лошадиных и оленевых, овец и коз
10.11.5,Производство животных жиров
10.11.6,Производство субпродуктов, непригодных для употребления в пищу
D,Обеспечение электрической энергией, газом и паром; кондиционирование воздуха
35,Обеспечение электрической энергией, газом и паром; кондиционирование воздуха
35.1,Производство, передача и распределение электроэнергии
35.11,Производство электроэнергии
35.11.1,Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций
35.11.2,Производство электроэнергии гидроэлектростанциями, в том числе деятельность по обеспечению работоспособности электростанций
35.11.3,Производство электроэнергии атомными электростанциями, в том числе деятельность по обеспечению работоспособности электростанций
35.11.4,Производство электроэнергии, получаемой из возобновляемых источников энергии, включая выработанную солнечными, ветровыми, геотермальными электростанциями, в том числе деятельность по обеспечению их работоспособности
E,Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений
36,Забор, очистка и распределение воды
36.0,Забор, очистка и распределение воды
36.00,Забор, очистка и распределение воды
36.00.1,Забор и очистка воды для питьевых и промышленных нужд
36.00.2,Распределение воды для питьевых и промышленных нужд
F,Строительство
41,Строительство зданий
41.1,Разработка строительных проектов
41.10,Разработка строительных проектов
41.2,Строительство жилых и нежилых зданий
41.20,Строительство жилых и нежилых зданий
41.20.1,Строительство жилых зданий
41.20.2,Строительство нежилых зданий
G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов
45,Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт
45.1,Торговля автотранспортными средствами
45.11,Торговля легковыми автомобилями и грузовыми автомобилями малой грузоподъемности
45.11.1,Торговля оптовая легковыми автомобилями и легкими автотранспортными средствами
45.11.2,Торговля розничная легковыми автомобилями и легкими автотранспортными средствами в специализированных магазинах
45.11.3,Торговля розничная легковыми автомобилями и легкими автотранспортными средствами прочая
45.11.4,Торговля оптовая легковыми автомобилями и легкими автотранспортными средствами за вознаграждение или на договорной основе
45.11.5,Торговля розничная легковыми автомобилями и легкими автотранспортными средствами прочая за вознаграждение или на договорной основе
H,Транспортировка и хранение
49,Деятельность сухопутного и трубопроводного транспорта
49.1,Деятельность железнодорожного транспорта: междугородные и международные пассажирские перевозки
49.10,Деятельность железнодорожного транспорта: междугородные и международные пассажирские перевозки
49.10.1,Перевозка пассажиров железнодорожным транспортом в междугородном сообщении
49.10.11,Перевозка пассажиров железнодорожным транспортом в междугородном сообщении в регулируемом секторе
49.10.12,Перевозка пассажиров железнодорожным транспортом в междугородном сообщении в нерегулируемом секторе
I,Деятельность гостиниц и предприятий общественного питания
55,Деятельность по предоставлению мест для временного проживания
55.1,Деятельность гостиниц и прочих мест для временного проживания
55.10,Деятельность гостиниц и прочих мест для временного проживания
J,Деятельность в области информации и связи
58,Деятельность издательская
58.1,Издание книг, периодических публикаций и другие виды издательской деятельности
58.11,Издание книг
58.11.1,Издание книг, брошюр, рекламных буклетов и аналогичных изданий, включая издание словарей и энциклопедий, в том числе для слепых, в печатном виде
58.11.2,Издание книг, брошюр, рекламных буклетов и аналогичных изданий, включая издание словарей и энциклопедий на электронных носителях
58.11.3,Издание атласов, карт и таблиц, в том числе для слепых, в печатном виде
58.11.4,Издание атласов, карт и таблиц на электронных носителях
K,Деятельность финансовая и страховая
64,Деятельность по предоставлению финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению
64.1,Денежное посредничество
64.11,Деятельность Центрального банка Российской Федерации (Банка России)
64.19,Денежное посредничество прочее
L,Деятельность по операциям с недвижимым имуществом
68,Операции с недвижимым имуществом
68.1,Покупка и продажа собственного недвижимого имущества
68.10,Покупка и продажа собственного недвижимого имущества
68.10.1,Подготовка к продаже собственного недвижимого имущества
68.10.11,Подготовка к продаже собственного жилого недвижимого имущества
68.10.12,Подготовка к продаже собственного нежилого недвижимого имущества
M,Деятельность профессиональная, научная и техническая
69,Деятельность в области права и бухгалтерского учета
69.1,Деятельность в области права
69.10,Деятельность в области права
69.2,Деятельность по оказанию услуг в области бухгалтерского учета, по проведению финансового аудита, по налоговому консультированию
69.20,Деятельность по оказанию услуг в области бухгалтерского учета, по проведению финансового аудита, по налоговому консультированию
69.20.1,Деятельность по проведению финансового аудита
69.20.2,Деятельность по оказанию услуг в области бухгалтерского учета
69.20.3,Деятельность в области налогового консультирования
N,Деятельность административная и сопутствующие дополнительные услуги
77,Аренда и лизинг
77.1,Аренда и лизинг автотранспортных средств
77.11,Аренда и лизинг легковых автомобилей и легких автотранспортных средств
77.12,Аренда и лизинг грузовых транспортных средств
O,Государственное управление и обеспечение военной безопасности; социальное обеспечение
84,Деятельность органов государственного управления по обеспечению военной безопасности, обязательному социальному обеспечению
84.1,Деятельность органов государственного управления и местного самоуправления по вопросам общего характера
84.11,Деятельность органов государственного управления и местного самоуправления по вопросам общего характера
84.11.1,Деятельность федеральных органов государственной власти по управлению вопросами общего характера, кроме судебной власти
84.11.11,Деятельность федеральных органов государственной власти, кроме полномочных представителей Президента Российской Федерации и территориальных органов федеральных органов исполнительной власти
P,Образование
85,Образование
85.1,Образование общее
85.11,Образование дошкольное
85.12,Образование начальное общее
85.13,Образование основное общее
85.14,Образование среднее общее
85.2,Образование профессиональное
85.21,Образование профессиональное среднее
85.22,Образование высшее
85.22.1,Образование высшее - бакалавриат
85.22.2,Образование высшее - специалитет
85.22.3,Образование высшее - магистратура
85.23,Подготовка кадров высшей квалификации
Q,Деятельность в области здравоохранения и социальных услуг
86,Деятельность в области здравоохранения
86.1,Деятельность больничных организаций
86.10,Деятельность больничных организаций
86.2,Медицинская и стоматологическая практика
86.21,Общая врачебная практика
86.22,Специальная врачебная практика
86.23,Стоматологическая практика
86.9,Деятельность в области медицины прочая
86.90,Деятельность в области медицины прочая
86.90.1,Деятельность организаций санитарно-эпидемиологической службы
86.90.2,Деятельность организаций судебно-медицинской экспертизы
86.90.3,Деятельность массажных салонов
86.90.4,Деятельность санаторно-курортных организаций
86.90.9,Деятельность в области медицины прочая, не включенная в другие группировки
R,Деятельность в области культуры, спорта, организации досуга и развлечений
90,Деятельность творческая, деятельность в области искусства и организации развлечений
90.0,Деятельность творческая, деятельность в области искусства и организации развлечений
90.01,Деятельность в области исполнительских искусств
90.02,Деятельность вспомогательная, связанная с исполнительскими искусствами
90.03,Деятельность в области художественного творчества
90.04,Деятельность учреждений культуры и искусства
90.04.1,Деятельность концертных залов, театров, оперных зданий, мюзик-холлов, включая услуги билетных касс
90.04.2,Деятельность многоцелевых центров и подобных заведений с преобладанием культурного обслуживания
90.04.3,Деятельность учреждений клубного типа: клубов, дворцов и домов культуры, домов народного творчества
S,Предоставление прочих видов услуг
94,Деятельность общественных организаций
94.1,Деятельность коммерческих, предпринимательских и профессиональных организаций
94.11,Деятельность коммерческих и предпринимательских членских организаций
94.12,Деятельность профессиональных членских организаций
94.2,Деятельность профессиональных союзов
94.20,Деятельность профессиональных союзов
94.9,Деятельность прочих общественных организаций
94.91,Деятельность религиозных организаций
94.92,Деятельность политических организаций
94.99,Деятельность прочих общественных организаций, не включенных в другие группировки
T,Деятельность домашних хозяйств как работодателей; недифференцированная деятельность частных домашних хозяйств по производству товаров и оказанию услуг для собственного потребления
97,Деятельность домашних хозяйств с наемными работниками
97.0,Деятельность домашних хозяйств с наемными работниками
97.00,Деятельность домашних хозяйств с наемными работниками
98,Деятельность недифференцированная частных домашних хозяйств по производству товаров и предоставлению услуг для собственного потребления
98.1,Деятельность недифференцированная частных домашних хозяйств по производству товаров для собственного потребления
98.10,Деятельность недифференцированная частных домашних хозяйств по производству товаров для собственного потребления
98.2,Деятельность недифференцированная частных домашних хозяйств по предоставлению услуг для собственного потребления
98.20,Деятельность недифференцированная частных домашних хозяйств по предоставлению услуг для собственного потребления
U,Деятельность экстерриториальных организаций и органов
99,Деятельность экстерриториальных организаций и органов
99.0,Деятельность экстерриториальных организаций и органов
99.00,Деятельность экстерриториальных организаций и органов
